altlabels,broaderconceptpt,broaderconcepturi,concepttype,concepturi,description,preferredlabel,reuselevel,skilltype
correspond in written Armenian | writing Armenian | show competency in written Armenian,Armenian,http://data.europa.eu/esco/skill/fcbcdf4c-d079-4010-ab4b-8356fbfa5096,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1988ce17-ce7a-44b9-9fce-5aaea5f811f5,Compose written texts in Armenian.,write Armenian,transversal,skill/competence
show competency in written Lithuanian | writing Lithuanian | correspond in written Lithuanian,Lithuanian,http://data.europa.eu/esco/skill/b3950b87-a980-4cd4-a795-be8a9b63661d,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19b04a30-2e1d-4893-a86c-bde277765c7f,Compose written texts in Lithuanian.,write Lithuanian,transversal,skill/competence
interpret written Irish | comprehend written Irish Gaelic | read Irish | understanding written Irish | understand Irish writing | comprehend written Irish | make sense of written Irish | comprehend written Gaelic,Irish,http://data.europa.eu/esco/skill/8f4c0fe6-10c7-409e-92d6-245f46728209,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a61a520-f4a5-48fe-9087-3d0e46943d8e,Read and comprehend written texts in Irish.,understand written Irish,transversal,skill/competence
,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1b7e6f56-bc73-4bcc-81ae-09252175d418,The Estonian language. Estonian is an official and working language of the EU.,Estonian,transversal,knowledge
correspond in written Romanian | show competency in written Romanian | write Moldavian | write Moldovan | writing Romanian,Romanian,http://data.europa.eu/esco/skill/4b9f1ae5-0ee6-4738-8999-9b8191fba808,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d3c5ca3-e154-4a43-883e-7496e8886cd6,Compose written texts in Romanian.,write Romanian,transversal,skill/competence
interpret spoken German | understanding spoken German | understand German speech | comprehend spoken German | listen to German | make sense of spoken German,German,http://data.europa.eu/esco/skill/4812a4ea-dc55-4dc6-b9b0-4a59bba2c647,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d5526b3-f17b-46fc-ba7d-f4a32d908a7e,Comprehend orally expressed German.,understand spoken German,transversal,skill/competence
Malaysian,languages | language,http://data.europa.eu/esco/skill/L1 | http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1f90c205-f869-4dcf-a374-c4fdeded9cbc,The Malay language.,Malay,transversal,knowledge
Standard Chinese | Cantonese,languages | language,http://data.europa.eu/esco/skill/L1 | http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1fe42b38-cd42-4fc7-ae77-14e4c9e96295,The Chinese language.,Chinese,transversal,skill/competence
,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2080075c-0488-4fbf-a786-734dbbef31ce,The Marathi language.,Marathi,transversal,skill/competence
writing Turkish | show competency in written Turkish | correspond in written Turkish,Turkish,http://data.europa.eu/esco/skill/aa66a033-8522-40e9-a5c0-ff2593e2669c,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20d51474-58e1-4fb3-aec3-57bdc187c5ce,Compose written texts in Turkish.,write Turkish,transversal,skill/competence
